eventID,eventDate,station,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,countryCode,maximumDepthInMeters
BS2-8-5-2015-0,2015-08-05,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-8-8-2017-0,2017-08-08,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-8-9-2016-0,2016-08-09,BS2,49.6827,-124.8032,WSGS84,300,CA,0
BS2-8-9-2016-10,2016-08-09,BS2,49.6827,-124.8032,WSGS84,300,CA,10
BS2-9-14-2015-0,2015-09-14,BS2,49.6837,-124.798,WSGS84,300,CA,0
BS2-9-21-2016-0,2016-09-21,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-9-25-2018-0,2018-09-25,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-9-26-2017-0,2017-09-26,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-9-6-2017-0,2017-09-06,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-9-6-2018-0,2018-09-06,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-9-8-2016-0,2016-09-08,BS2,49.6832,-124.8023,WSGS84,300,CA,0
BS3-1-27-2019-0,2019-01-27,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-10-10-2015-0,2015-10-10,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-10-10-2018-0,2018-10-10,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-10-19-2017-0,2017-10-19,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-12-2-2018-0,2018-12-02,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-3-1-2020-0,2020-03-01,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-3-16-2023-0,2023-03-16,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-3-18-2016-0,2016-03-18,BS3,49.6917,-124.6684,WSGS84,300,CA,0
BS3-3-19-2023-0,2023-03-19,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-3-20-2017-0,2017-03-20,BS3,49.6916,-124.6675,WSGS84,300,CA,0
BS3-3-21-2015-0,2015-03-21,BS3,49.6922,-124.6673,WSGS84,300,CA,0
BS3-3-27-2018-0,2018-03-27,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-3-29-2016-0,2016-03-29,BS3,49.6914,-124.6653,WSGS84,300,CA,0
BS3-3-8-2018-0,2018-03-08,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-3-9-2017-0,2017-03-09,BS3,49.6916,-124.6674,WSGS84,300,CA,0
BS3-4-11-2016-0,2016-04-11,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-4-19-2018-0,2018-04-19,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-4-20-2015-0,2015-04-20,BS3,49.6913,-124.6663,WSGS84,300,CA,0
BS3-4-26-2016-0,2016-04-26,BS3,49.6926,-124.6682,WSGS84,300,CA,0
BS3-4-26-2018-0,2018-04-26,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-4-27-2023-0,2023-04-27,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-4-5-2015-0,2015-04-05,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-4-9-2015-0,2015-04-09,BS3,49.6918,-124.6666,WSGS84,300,CA,0
BS3-5-10-2018-0,2018-05-10,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-5-12-2017-0,2017-05-12,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-5-16-2016-0,2016-05-16,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-5-17-2015-0,2015-05-17,BS3,49.6918,-124.6669,WSGS84,300,CA,0
BS3-5-18-2018-0,2018-05-18,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-5-23-2016-0,2016-05-23,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-5-25-2015-0,2015-05-25,BS3,49.692,-124.6677,WSGS84,300,CA,0
BS3-5-28-2023-0,2023-05-28,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-5-31-2018-0,2018-05-31,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-5-6-2017-0,2017-05-06,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-5-6-2023-0,2023-05-06,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-6-13-2017-0,2017-06-13,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-6-14-2018-0,2018-06-14,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-6-15-2016-0,2016-06-15,BS3,49.6915,-124.666,WSGS84,300,CA,0
BS3-6-15-2023-0,2023-06-15,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-6-18-2015-0,2015-06-18,BS3,49.6917,-124.6664,WSGS84,300,CA,0
BS3-6-20-2018-0,2018-06-20,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-6-22-2017-0,2017-06-22,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-6-25-2023-0,2023-06-25,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-6-28-2016-0,2016-06-28,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-6-6-2017-0,2017-06-06,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-6-8-2016-0,2016-06-08,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-7-15-2015-0,2015-07-15,BS3,49.6914,-124.6668,WSGS84,300,CA,0
BS3-7-16-2023-0,2023-07-16,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-7-17-2017-0,2017-07-17,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-7-20-2016-0,2016-07-20,BS3,49.6919,-124.6688,WSGS84,300,CA,0
BS3-7-25-2018-0,2018-07-25,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-7-26-2016-0,2016-07-26,BS3,49.689,-124.6674,WSGS84,300,CA,0
BS3-7-5-2018-0,2018-07-05,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-7-7-2017-0,2017-07-07,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-8-1-2017-0,2017-08-01,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-8-14-2017-0,2017-08-14,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-8-15-2015-0,2015-08-15,BS3,49.6919,-124.6665,WSGS84,300,CA,0
BS3-8-16-2018-0,2018-08-16,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-8-2-2016-0,2016-08-02,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-8-21-2017-0,2017-08-21,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-8-22-2016-0,2016-08-22,BS3,49.6918,-124.6655,WSGS84,300,CA,0
BS3-8-23-2018-0,2018-08-23,BS3,49.6917,-124.6667,WSGS84,300,CA,0
BS3-8-27-2023-0,2023-08-27,BS3,49.6917,-124.6667,WSGS84,300,CA,0
